iter	Passed	Remaining
545	6583	5474
546	6591	5458
547	6600	5444
548	6607	5428
549	6616	5413
550	6623	5397
551	6631	5382
552	6639	5366
553	6649	5353
554	6657	5337
555	6666	5323
556	6674	5308
557	6682	5293
558	6690	5277
559	6698	5263
560	6705	5247
561	6714	5232
562	6721	5217
563	6729	5202
564	6737	5187
565	6745	5172
566	6752	5156
567	6760	5142
568	6768	5126
569	6775	5111
570	6783	5096
571	6791	5081
572	6799	5066
573	6806	5051
574	6814	5036
575	6822	5022
576	6830	5007
577	6838	4993
578	6846	4978
579	6854	4963
580	6863	4949
581	6872	4935
582	6880	4921
583	6888	4906
584	6896	4892
585	6904	4877
586	6912	4863
587	6921	4849
588	6929	4835
589	6937	4821
590	6946	4807
591	6953	4792
592	6962	4778
593	6971	4764
594	6979	4750
595	6987	4736
596	6995	4722
597	7003	4708
598	7012	4694
599	7021	4681
600	7030	4667
601	7038	4653
602	7046	4639
603	7055	4625
604	7064	4612
605	7072	4598
606	7081	4585
607	7090	4571
608	7099	4558
609	7108	4544
610	7116	4531
611	7125	4517
612	7134	4503
613	7142	4490
614	7151	4476
615	7160	4463
616	7170	4450
617	7187	4442
618	7196	4429
619	7204	4415
620	7213	4402
621	7221	4388
622	7229	4375
623	7237	4361
624	7247	4348
625	7255	4334
626	7263	4321
627	7273	4308
628	7284	4296
629	7294	4283
630	7302	4270
631	7311	4257
632	7320	4244
633	7330	4232
634	7339	4218
635	7346	4204
636	7355	4191
637	7362	4177
638	7370	4164
639	7378	4150
640	7386	4137
641	7394	4123
642	7403	4110
643	7410	4096
644	7421	4084
645	7429	4071
646	7437	4057
647	7445	4044
648	7453	4031
649	7461	4017
650	7470	4005
651	7479	3992
652	7488	3979
653	7498	3967
654	7507	3954
655	7517	3941
656	7526	3929
657	7536	3916
658	7546	3904
659	7557	3893
660	7569	3882
661	7579	3869
662	7590	3858
663	7603	3847
664	7613	3835
665	7624	3823
666	7635	3812
667	7645	3799
668	7654	3786
669	7665	3775
670	7675	3763
671	7684	3750
672	7693	3738
673	7701	3725
674	7710	3712
675	7720	3700
676	7728	3687
677	7736	3674
678	7753	3665
679	7761	3652
680	7769	3639
681	7778	3626
682	7786	3613
683	7794	3600
684	7802	3588
685	7811	3575
686	7819	3562
687	7827	3549
688	7835	3536
689	7843	3523
690	7851	3511
691	7860	3498
692	7868	3485
693	7876	3472
694	7884	3460
695	7892	3447
696	7900	3434
697	7909	3422
698	7917	3409
699	7925	3396
700	7933	3383
701	7941	3371
702	7948	3358
703	7956	3345
704	7964	3332
705	7972	3320
706	7981	3307
707	7988	3294
708	7996	3282
709	8004	3269
710	8011	3256
711	8020	3244
712	8028	3231
713	8036	3219
714	8044	3206
715	8052	3194
716	8061	3181
717	8069	3169
718	8079	3157
719	8087	3145
720	8097	3133
721	8106	3121
722	8114	3109
723	8124	3097
724	8133	3084
725	8141	3072
726	8150	3060
727	8159	3048
728	8167	3036
729	8175	3023
730	8182	3011
731	8190	2998
732	8197	2986
733	8205	2973
734	8213	2961
735	8221	2949
736	8229	2936
737	8236	2924
738	8245	2912
739	8252	2899
740	8260	2887
741	8268	2874
742	8275	2862
743	8283	2850
744	8291	2837
745	8299	2825
746	8307	2813
747	8315	2801
748	8323	2789
749	8331	2777
750	8339	2765
751	8348	2753
752	8355	2740
753	8364	2729
754	8372	2717
755	8382	2705
756	8390	2693
757	8399	2681
758	8407	2669
759	8415	2657
760	8422	2645
761	8431	2633
762	8438	2621
763	8447	2609
764	8454	2597
765	8462	2585
766	8471	2573
767	8479	2561
768	8486	2549
769	8494	2537
770	8501	2525
771	8511	2513
772	8519	2501
773	8527	2489
774	8535	2477
775	8543	2466
776	8550	2454
777	8558	2442
778	8566	2430
779	8574	2418
780	8581	2406
781	8589	2394
782	8598	2382
783	8606	2371
784	8613	2359
785	8622	2347
786	8629	2335
787	8638	2323
788	8645	2312
789	8654	2300
790	8662	2288
791	8670	2277
792	8677	2265
793	8685	2253
794	8693	2241
795	8700	2229
796	8708	2218
797	8715	2206
798	8724	2194
799	8731	2182
800	8740	2171
801	8748	2159
802	8758	2148
803	8765	2136
804	8773	2125
805	8781	2113
806	8789	2102
807	8796	2090
808	8804	2078
809	8812	2067
810	8819	2055
811	8826	2043
812	8834	2032
813	8842	2020
814	8850	2008
815	8858	1997
816	8866	1985
817	8873	1974
818	8882	1963
819	8890	1951
820	8898	1940
821	8906	1928
822	8913	1916
823	8921	1905
824	8929	1894
825	8937	1882
826	8945	1871
827	8954	1860
828	8962	1848
829	8970	1837
830	8978	1825
831	8986	1814
832	8994	1803
833	9002	1791
834	9010	1780
835	9018	1769
836	9026	1757
837	9034	1746
838	9042	1735
839	9051	1724
840	9059	1712
841	9067	1701
842	9075	1690
843	9084	1679
844	9092	1667
845	9100	1656
846	9107	1645
847	9115	1633
848	9123	1622
849	9131	1611
850	9138	1600
851	9146	1588
852	9153	1577
853	9161	1566
854	9169	1555
855	9177	1543
856	9184	1532
857	9192	1521
858	9200	1510
859	9207	1498
860	9215	1487
861	9222	1476
862	9231	1465
863	9238	1454
864	9246	1443
865	9254	1431
866	9263	1421
867	9270	1409
868	9279	1398
869	9287	1387
870	9295	1376
871	9303	1365
872	9311	1354
873	9318	1343
874	9326	1332
875	9333	1321
876	9341	1310
877	9348	1299
878	9357	1288
879	9365	1277
880	9373	1266
881	9380	1255
882	9388	1244
883	9396	1233
884	9404	1221
885	9411	1211
886	9419	1199
887	9427	1189
888	9435	1178
889	9443	1167
890	9450	1156
891	9459	1145
892	9466	1134
893	9474	1123
894	9482	1112
895	9490	1101
896	9498	1090
897	9505	1079
898	9514	1068
899	9521	1057
900	9530	1047
901	9537	1036
902	9545	1025
903	9553	1014
904	9562	1003
905	9570	992
906	9578	982
907	9585	971
908	9593	960
909	9601	949
910	9610	938
911	9617	928
912	9625	917
913	9633	906
914	9641	895
915	9649	884
916	9657	874
917	9666	863
918	9674	852
919	9681	841
920	9689	831
921	9696	820
922	9704	809
923	9711	798
924	9719	788
925	9727	777
926	9734	766
927	9743	755
928	9751	745
929	9759	734
930	9767	723
931	9775	713
932	9782	702
933	9791	691
934	9799	681
935	9807	670
936	9815	659
937	9823	649
938	9831	638
939	9839	628
940	9847	617
941	9855	606
942	9863	596
943	9871	585
944	9879	574
945	9887	564
946	9895	553
947	9903	543
948	9911	532
949	9919	522
950	9927	511
951	9939	501
952	9948	490
953	9958	480
954	9966	469
955	9975	459
956	9984	448
957	9993	438
958	10003	427
959	10010	417
960	10019	406
961	10027	396
962	10037	385
963	10046	375
964	10054	364
965	10062	354
966	10071	343
967	10079	333
968	10086	322
969	10093	312
970	10102	301
971	10110	291
972	10119	280
973	10128	270
974	10137	259
975	10145	249
976	10153	239
977	10162	228
978	10170	218
979	10179	207
980	10188	197
981	10196	186
982	10205	176
983	10214	166
984	10222	155
985	10232	145
986	10240	134
987	10249	124
988	10258	114
989	10266	103
990	10275	93
991	10283	82
992	10293	72
993	10302	62
994	10310	51
995	10318	41
996	10326	31
997	10334	20
998	10342	10
999	10349	0
